frame, confidence, gaze_0_x, gaze_0_y, gaze_1_x, gaze_1_y, pose_Tx, pose_Ty, pose_Rx, pose_Ry
114,0.98,0.019598,0.076543,-0.15791,0.115075,51.7,25.2,0.038,0.083
115,0.98,0.011691,0.082984,-0.163127,0.11453,51.7,25.1,0.03,0.082
116,0.98,0.008324,0.094129,-0.17923,0.108568,51.7,25.1,0.031,0.086
117,0.98,0.014456,0.094855,-0.173041,0.101398,51.7,25.1,0.027,0.085
118,0.98,0.013148,0.104576,-0.182854,0.10213,51.8,25.1,0.031,0.083
119,0.98,0.053221,0.137705,-0.113538,0.112479,52.1,25.4,0.037,0.084
120,0.98,0.046758,0.123425,-0.114571,0.091863,52.2,25.5,0.034,0.086
121,0.98,0.056624,0.132252,-0.123913,0.098922,52.2,25.5,0.036,0.085
122,0.98,0.077466,0.117276,-0.111737,0.106289,52.4,25.4,0.035,0.084
123,0.98,0.075835,0.117601,-0.120991,0.108713,52.6,25.4,0.036,0.085
124,0.98,0.07136,0.108683,-0.119576,0.095221,52.4,25.2,0.032,0.087
125,0.98,0.055995,0.112755,-0.101806,0.107229,52.6,25.3,0.037,0.086
126,0.98,0.038796,0.122626,-0.103558,0.105395,52.6,25.0,0.028,0.083
127,0.98,0.019641,0.122702,-0.193011,0.134105,52.5,24.8,0.031,0.088
128,0.98,0.017058,0.101709,-0.211001,0.129101,52.3,24.7,0.032,0.09
129,0.98,0.006883,0.096703,-0.213815,0.113626,52.2,24.8,0.03,0.088
130,0.98,0.014014,0.089963,-0.202589,0.116047,52.2,24.8,0.03,0.087
131,0.98,0.01714,0.105214,-0.200285,0.125731,52.2,24.8,0.033,0.088
132,0.98,0.001794,0.096656,-0.200108,0.133983,52.2,24.9,0.031,0.088
133,0.98,0.007023,0.106727,-0.200451,0.125205,52.0,24.9,0.034,0.087
134,0.98,0.01766,0.123635,-0.206835,0.131525,51.9,24.7,0.034,0.088
135,0.98,0.018432,0.126888,-0.178618,0.117784,51.8,24.7,0.032,0.089
136,0.98,0.020733,0.119881,-0.180196,0.115083,51.8,24.8,0.034,0.089
137,0.98,0.01474,0.120044,-0.194016,0.125807,51.7,24.8,0.03,0.089
138,0.98,0.009769,0.114575,-0.171956,0.122929,51.6,24.7,0.03,0.087
139,0.98,0.024059,0.128991,-0.184425,0.110355,51.6,24.7,0.032,0.09
140,0.98,0.019736,0.119624,-0.180537,0.122052,51.6,24.8,0.03,0.087
141,0.98,0.0234,0.113077,-0.182093,0.113443,51.6,24.9,0.036,0.091
142,0.98,0.031469,0.104642,-0.197627,0.12152,51.4,24.8,0.038,0.089
143,0.98,0.019458,0.105675,-0.193199,0.120224,51.5,24.8,0.033,0.089
144,0.98,0.009343,0.114143,-0.192451,0.11697,51.4,24.7,0.034,0.087
145,0.98,0.017703,0.109693,-0.187768,0.120056,51.5,24.8,0.034,0.086
146,0.98,0.012494,0.106917,-0.18522,0.123067,51.6,24.9,0.035,0.087
147,0.98,0.008854,0.101574,-0.193026,0.121687,51.5,24.7,0.034,0.088
148,0.98,0.016324,0.09125,-0.187704,0.119422,51.6,24.8,0.037,0.086
149,0.98,0.018475,0.092794,-0.196022,0.112174,51.5,24.8,0.035,0.085
150,0.98,0.032995,0.083388,-0.192345,0.12321,51.6,24.9,0.04,0.085
151,0.98,0.030176,0.092022,-0.18789,0.119233,51.6,25.0,0.035,0.089
152,0.98,0.02514,0.11126,-0.192896,0.151683,51.8,25.1,0.034,0.088
153,0.98,0.023392,0.09596,-0.174035,0.136008,51.7,25.2,0.034,0.087
154,0.98,0.025248,0.08669,-0.164355,0.12297,51.7,25.3,0.039,0.086
155,0.98,0.025574,0.090956,-0.175373,0.130175,51.6,25.4,0.041,0.087
156,0.98,0.031456,0.080696,-0.172658,0.118193,51.7,25.4,0.039,0.086
157,0.98,0.026761,0.090028,-0.185189,0.118656,51.6,25.4,0.033,0.09
158,0.98,0.002564,0.095095,-0.187363,0.125893,51.6,25.5,0.035,0.089
159,0.98,0.006055,0.10537,-0.170409,0.133316,51.7,25.5,0.041,0.089
160,0.98,0.017058,0.113793,-0.172461,0.145735,51.8,25.5,0.04,0.09
161,0.98,0.027074,0.107588,-0.18127,0.136167,51.6,25.4,0.043,0.087
162,0.98,0.011355,0.10068,-0.174049,0.133835,51.7,25.6,0.045,0.093
163,0.98,0.004363,0.099238,-0.176514,0.132212,51.7,25.6,0.041,0.09
164,0.98,0.008549,0.096615,-0.180438,0.140797,51.7,25.6,0.038,0.09
165,0.98,0.020111,0.105855,-0.181519,0.112754,51.8,25.7,0.039,0.09
166,0.98,0.015839,0.116916,-0.175575,0.129313,51.8,25.7,0.038,0.089
167,0.98,0.005159,0.123988,-0.212638,0.167732,51.8,25.7,0.039,0.09
168,0.98,0.006655,0.115294,-0.205018,0.145341,51.8,25.7,0.037,0.09
169,0.98,0.004715,0.11028,-0.1956,0.145747,51.8,25.7,0.039,0.092
170,0.98,0.013241,0.099172,-0.182761,0.113238,51.7,25.7,0.04,0.092
171,0.98,0.016508,0.101304,-0.185731,0.129132,51.8,25.9,0.044,0.09
172,0.98,0.019333,0.097986,-0.169402,0.149453,51.7,25.8,0.045,0.091
173,0.98,0.021102,0.102505,-0.171933,0.128773,51.8,25.8,0.045,0.09
174,0.98,0.007304,0.102511,-0.176795,0.158645,51.7,25.8,0.049,0.089
175,0.98,0.002755,0.097513,-0.163303,0.127844,51.8,25.9,0.048,0.089
176,0.98,0.011324,0.133251,-0.161037,0.140343,51.8,26.0,0.043,0.084
177,0.98,0.068429,0.137949,-0.103621,0.143826,51.7,26.2,0.049,0.088
178,0.98,0.066021,0.136226,-0.115033,0.177088,51.9,26.4,0.046,0.088
179,0.98,0.084293,0.133707,-0.123138,0.179546,51.8,26.4,0.045,0.089
180,0.98,0.081652,0.151916,-0.095568,0.112854,52.0,26.4,0.044,0.089
181,0.98,0.079398,0.155076,-0.102646,0.098977,52.0,26.3,0.04,0.091
182,0.98,0.108625,0.177232,-0.091156,0.171795,52.2,26.2,0.043,0.091
183,0.98,0.110572,0.176785,-0.078062,0.159192,52.4,26.4,0.044,0.087
184,0.98,0.107079,0.191788,-0.072562,0.168547,52.3,26.3,0.047,0.09
185,0.98,0.114624,0.186359,-0.090168,0.183672,52.4,26.3,0.045,0.09
186,0.98,0.115527,0.187435,-0.109193,0.172479,52.4,26.2,0.045,0.089
187,0.98,0.125281,0.190068,-0.11884,0.177118,52.3,26.2,0.047,0.088
188,0.98,0.114773,0.186074,-0.123176,0.125725,52.1,26.2,0.044,0.092
189,0.98,0.12357,0.188913,-0.149075,0.148008,52.3,26.1,0.043,0.093
190,0.98,0.115443,0.177216,-0.138199,0.168049,52.3,26.1,0.045,0.093
191,0.98,0.114839,0.187272,-0.128923,0.178371,52.4,26.3,0.046,0.09
192,0.98,0.120248,0.185825,-0.114508,0.183197,52.5,26.3,0.043,0.088
193,0.98,0.120769,0.18464,-0.109961,0.181407,52.7,26.1,0.047,0.081
194,0.98,0.115366,0.176309,-0.10817,0.205393,52.7,26.0,0.049,0.084
195,0.98,0.11017,0.181837,-0.123226,0.184976,52.7,26.1,0.046,0.084
196,0.98,0.102657,0.15874,-0.112429,0.195702,52.8,26.2,0.049,0.082
197,0.98,0.097833,0.171777,-0.118745,0.170028,52.8,26.1,0.042,0.084
198,0.98,0.092057,0.180874,-0.120847,0.163136,52.5,26.0,0.041,0.084
199,0.98,0.088914,0.181149,-0.132682,0.169255,52.5,26.1,0.044,0.086
200,0.98,0.10156,0.201999,-0.114212,0.19595,52.8,26.4,0.045,0.085
201,0.98,0.079131,0.192595,-0.148128,0.182435,53.1,26.3,0.045,0.083
202,0.98,0.040543,0.203916,-0.12641,0.223893,53.1,26.2,0.046,0.081
203,0.98,0.069864,0.218181,-0.138758,0.210214,53.2,26.2,0.043,0.082
204,0.98,0.059643,0.209433,-0.153575,0.200927,53.1,26.2,0.042,0.084
205,0.98,0.049669,0.198619,-0.186715,0.171408,52.8,26.0,0.041,0.086
206,0.98,0.05038,0.199118,-0.185744,0.173339,52.7,26.0,0.043,0.086
207,0.98,0.061601,0.204079,-0.194203,0.19233,52.9,26.1,0.043,0.084
208,0.98,0.037261,0.210531,-0.176706,0.227429,53.0,26.1,0.044,0.087
209,0.98,-0.039122,0.256623,-0.136332,0.192186,53.6,26.8,0.031,0.086
210,0.98,0.009895,0.340962,-0.15197,0.286506,53.8,27.2,0.017,0.08
211,0.98,0.001792,0.326827,-0.180387,0.283208,53.7,26.8,0.022,0.084
212,0.98,0.007873,0.254997,-0.2626,0.219874,53.3,26.3,0.029,0.082
213,0.98,0.053252,0.239775,-0.125752,0.138175,54.2,25.9,0.031,0.08
214,0.98,0.04426,0.248343,-0.19241,0.158714,54.5,25.0,0.028,0.075
215,0.98,0.118065,0.24206,-0.134408,0.263965,54.3,23.8,0.028,0.076
216,0.98,0.076072,0.215242,-0.153934,0.240489,54.9,23.3,0.024,0.065
217,0.98,0.125414,0.195897,-0.185129,0.270857,55.2,22.4,0.026,0.063
218,0.98,0.120986,0.199714,-0.193796,0.262303,55.3,21.4,0.02,0.061
219,0.98,0.119636,0.193706,-0.17869,0.213322,55.3,20.5,0.025,0.058
220,0.98,0.117496,0.168955,-0.283098,0.136873,55.2,19.7,0.025,0.055
221,0.98,0.1234,0.189813,-0.26798,0.131175,54.6,18.6,0.024,0.052
222,0.98,0.144386,0.204053,-0.26714,0.145718,54.2,17.6,0.027,0.053
223,0.98,0.139206,0.18605,-0.244581,0.117434,53.2,16.6,0.022,0.055
224,0.98,0.126975,0.197931,-0.223511,0.15582,52.1,15.5,0.023,0.06
225,0.98,0.130412,0.245021,-0.231054,0.152764,50.3,13.9,0.015,0.061
226,0.98,0.091783,0.231268,-0.198665,0.169491,48.6,12.6,0.013,0.066
227,0.98,0.06335,0.239163,-0.19043,0.190302,46.6,11.6,0.014,0.07
228,0.98,0.091469,0.230164,-0.216134,0.201828,44.4,10.7,0.012,0.074
229,0.98,0.158937,0.245164,-0.215239,0.201709,42.2,9.7,-0.003,0.077
230,0.98,0.176381,0.200084,-0.12239,0.17524,40.2,9.0,-0.011,0.078
231,0.98,0.140304,0.172067,-0.109595,0.185444,37.8,8.4,-0.013,0.086
232,0.98,0.158452,0.159932,-0.090921,0.18852,35.6,7.9,-0.018,0.085
233,0.98,0.157306,0.14715,-0.085847,0.182441,33.3,7.1,-0.03,0.091
234,0.98,0.125438,0.174139,-0.064061,0.178806,31.1,6.5,-0.035,0.091
235,0.98,0.123391,0.144363,-0.058128,0.168904,28.9,6.1,-0.046,0.093
236,0.98,0.153051,0.096244,-0.058286,0.128663,27.0,5.8,-0.067,0.093
237,0.98,0.100147,0.115129,-0.03,0.135383,24.8,5.6,-0.074,0.098
238,0.98,0.089681,0.14025,-0.063051,0.162475,22.6,6.0,-0.086,0.098
239,0.98,0.079855,0.097771,-0.069415,0.15205,20.7,6.6,-0.083,0.103
240,0.98,0.082416,0.091978,-0.074478,0.141382,18.8,7.1,-0.082,0.105
241,0.98,0.059202,0.075499,-0.071387,0.142308,16.9,7.8,-0.087,0.107
242,0.98,0.056908,0.096441,-0.070643,0.116522,15.0,8.8,-0.083,0.108
243,0.98,0.06756,0.083395,-0.036727,0.098932,13.3,10.1,-0.086,0.1
244,0.98,0.066772,0.078839,-0.021462,0.087935,11.7,11.4,-0.096,0.099
245,0.98,0.032974,0.088851,-0.056175,0.115781,10.1,12.2,-0.111,0.101
246,0.98,0.011285,0.066704,-0.022893,0.075983,8.6,13.5,-0.106,0.101
247,0.98,0.026341,0.112316,-0.056033,0.128932,6.9,14.9,-0.115,0.104
248,0.98,0.039475,0.11421,-0.056822,0.131282,5.3,15.8,-0.12,0.101
249,0.98,0.058936,0.101124,-0.038821,0.113876,3.6,16.5,-0.123,0.102
250,0.98,0.051044,0.080892,-0.031324,0.087491,1.8,17.6,-0.119,0.099
251,0.98,0.04178,0.081576,0.009078,0.071049,0.1,18.9,-0.118,0.092
252,0.98,0.065665,0.069385,0.011225,0.067295,-1.6,20.0,-0.111,0.089
253,0.98,0.061464,0.067744,-0.027822,0.072889,-3.2,20.6,-0.109,0.084
254,0.98,0.063594,0.062049,-0.037051,0.053549,-5.3,21.3,-0.115,0.088
255,0.98,0.058888,0.054722,-0.009094,0.051029,-7.1,21.3,-0.116,0.084
256,0.98,0.082228,0.042559,-0.030081,0.051807,-9.2,21.0,-0.138,0.09
257,0.98,0.038782,0.059991,-0.035304,0.027155,-11.7,20.1,-0.146,0.093
258,0.98,0.039205,0.070479,-0.060923,0.062722,-13.7,17.8,-0.138,0.083
259,0.98,0.057569,0.057493,-0.061325,0.073628,-16.0,16.9,-0.142,0.086
260,0.98,0.065047,0.038801,-0.052615,0.066847,-18.2,17.2,-0.146,0.075
261,0.98,0.04583,0.040337,-0.082791,0.029964,-20.1,16.2,-0.153,0.068
262,0.98,0.073111,0.028591,-0.070281,0.006305,-22.2,14.0,-0.17,0.057
263,0.98,0.075318,0.025404,-0.068113,-0.002237,-24.6,14.0,-0.163,0.055
264,0.98,0.097478,0.021127,-0.076883,-0.008128,-27.4,14.7,-0.161,0.051
265,0.98,0.092936,0.034656,-0.104906,-0.005105,-30.2,13.8,-0.155,0.045
266,0.98,0.070877,0.044584,-0.110708,0.007035,-33.3,12.3,-0.16,0.044
267,0.98,0.10169,0.074573,-0.124604,0.009741,-36.5,12.2,-0.158,0.044
268,0.98,0.124783,0.092079,-0.098463,0.052826,-39.8,12.2,-0.153,0.041
269,0.98,0.094836,0.080756,-0.127553,0.015687,-43.0,11.5,-0.152,0.04
270,0.98,0.103421,0.097359,-0.130023,0.02333,-46.3,11.3,-0.15,0.04
271,0.98,0.102796,0.084103,-0.105555,0.063624,-49.2,11.9,-0.135,0.035
272,0.98,0.096578,0.104141,-0.075914,0.081094,-51.7,12.5,-0.125,0.032
273,0.98,0.107966,0.067791,-0.032788,0.07053,-54.1,13.1,-0.118,0.031
274,0.98,0.11289,0.083209,-0.027043,0.099907,-56.4,13.4,-0.106,0.022
275,0.98,0.113573,0.083078,-0.027645,0.111066,-58.3,13.3,-0.106,0.018
276,0.98,0.12852,0.109138,-0.018251,0.110339,-60.0,13.6,-0.097,0.013
277,0.98,0.163868,0.128171,-0.075536,0.118135,-61.6,14.5,-0.093,0.007
278,0.98,0.158682,0.127148,-0.154141,0.07116,-62.5,14.5,-0.096,-0.011
279,0.98,0.191058,0.103179,-0.162466,0.096234,-63.4,13.7,-0.108,-0.035
280,0.98,0.148392,0.112723,-0.123068,0.153302,-63.6,13.9,-0.099,-0.058
