frame,gaze_0_x,gaze_0_y,gaze_1_x,gaze_1_y,pose_Tx,pose_Ty,pose_Rx,pose_Ry
54,0.018982,0.089116,-0.050565,0.100301,-2.0,84.3,0.009,-0.06
55,0.043359,0.087756,-0.012678,0.064364,-2.6,84.6,-0.001,-0.055
56,0.04384,0.095182,-0.029238,0.08649,-2.8,84.6,0.01,-0.053
57,0.055832,0.097536,-0.058391,0.083772,-2.8,84.2,0.011,-0.049
58,0.068284,0.112777,-0.028004,0.078977,-2.7,84.4,0.01,-0.054
59,0.065355,0.093422,-0.026935,0.078272,-2.7,84.6,0.012,-0.06
60,0.069459,0.065871,-0.014867,0.068387,-2.6,85.1,0.012,-0.063
61,0.056766,0.08889,-0.033421,0.078881,-2.6,85.0,0.007,-0.068
62,0.034482,0.082248,-0.052695,0.081542,-2.8,85.0,0.005,-0.063
63,0.063921,0.086302,-0.052545,0.091598,-3.0,84.7,0.01,-0.064
64,0.066686,0.113608,-0.042874,0.135502,-3.0,84.7,0.006,-0.062
65,0.009709,0.112667,-0.014949,0.089735,-3.3,85.3,0.016,-0.059
66,0.053489,0.088196,-0.033054,0.081099,-3.4,85.7,0.006,-0.06
67,0.023884,0.06465,-0.016269,0.096969,-3.5,85.6,0.013,-0.059
68,0.034564,0.059736,-0.020222,0.072512,-3.5,85.5,0.011,-0.058
69,0.052416,0.10656,-0.023619,0.049453,-3.4,84.8,0.01,-0.058
70,0.063945,0.101774,-0.050601,0.067026,-3.4,84.4,0.005,-0.053
71,0.050007,0.078914,-0.036321,0.097071,-3.4,84.7,0.015,-0.057
72,0.054727,0.058928,-0.001649,0.082464,-3.4,85.3,0.009,-0.059
73,0.064329,0.077898,-0.020201,0.103134,-3.4,85.2,0.011,-0.056
74,0.069002,0.105559,-0.040028,0.078777,-3.3,85.4,0.006,-0.054
75,0.04074,0.115636,-0.01548,0.097551,-3.1,85.0,0.014,-0.06
76,0.018973,0.108656,-0.011116,0.064243,-3.2,84.8,0.007,-0.055
77,0.048943,0.087,-0.043803,0.079285,-3.4,84.7,0.007,-0.051
78,0.040174,0.103068,-0.014643,0.078569,-3.4,84.6,0.015,-0.051
79,0.02894,0.083075,-0.039416,0.071404,-3.6,84.7,0.015,-0.048
80,0.02111,0.088333,-0.018101,0.055154,-3.8,84.5,0.016,-0.048
81,0.045058,0.111647,-0.004618,0.070607,-3.8,84.7,0.017,-0.046
82,0.04924,0.102575,-0.014757,0.070895,-3.7,84.4,0.018,-0.044
83,0.050351,0.10216,-0.021508,0.07338,-3.9,84.2,0.019,-0.044
84,0.058414,0.118914,-0.051223,0.070994,-3.7,84.7,0.021,-0.046
85,0.061225,0.10867,-0.021173,0.090644,-3.4,85.3,0.017,-0.057
86,0.06142,0.152138,-0.042525,0.091092,-3.3,85.2,0.018,-0.052
87,0.04011,0.102313,-0.056572,0.087071,-3.1,84.9,0.014,-0.045
88,0.074303,0.087261,-0.041726,0.073912,-3.0,84.6,0.019,-0.048
89,0.04729,0.098156,-0.013519,0.089265,-2.7,84.2,0.012,-0.049
90,0.046712,0.128176,-0.015755,0.090595,-2.5,83.9,0.019,-0.047
91,0.046179,0.109048,-0.019766,0.090855,-2.5,83.9,0.021,-0.046
92,0.037415,0.121252,-0.017502,0.098175,-2.4,83.9,0.015,-0.044
93,0.076516,0.13047,-0.011807,0.10324,-2.6,83.7,0.021,-0.042
94,0.067556,0.110166,-0.024299,0.091155,-2.7,83.5,0.026,-0.041
95,0.064362,0.128751,0.001241,0.110902,-2.9,83.0,0.034,-0.034
96,0.02913,0.127555,0.020017,0.096704,-3.1,83.1,0.032,-0.033
97,0.040405,0.147617,-0.005097,0.109199,-3.5,82.9,0.039,-0.026
98,0.059646,0.140412,-0.017972,0.112089,-3.5,83.3,0.039,-0.029
99,0.069707,0.138783,-0.005687,0.114296,-3.5,83.6,0.043,-0.031
100,0.085871,0.155102,-0.017791,0.098215,-3.5,84.3,0.05,-0.031
101,0.085929,0.136572,-0.042642,0.075654,-3.6,84.7,0.049,-0.03
102,0.08089,0.140133,-0.067942,0.104387,-3.9,84.8,0.047,-0.032
103,0.114282,0.119671,-0.039803,0.125317,-3.9,85.2,0.043,-0.03
104,0.101768,0.125087,-0.040704,0.123143,-3.9,84.9,0.04,-0.036
105,0.056264,0.163263,-0.001753,0.15544,-4.0,83.9,0.03,-0.034
106,0.073555,0.141043,-0.02292,0.144993,-3.9,82.3,0.025,-0.042
107,0.086543,0.110101,-0.003249,0.117788,-4.2,81.8,0.017,-0.032
108,0.076206,0.106147,-0.021545,0.098511,-4.2,81.3,0.018,-0.039
109,0.084176,0.094413,-0.011524,0.07977,-4.3,81.5,0.014,-0.032
110,0.068975,0.121229,0.024509,0.098715,-4.4,81.7,0.026,-0.036
111,0.111152,0.106929,0.018763,0.093901,-4.5,81.9,0.028,-0.036
112,0.115306,0.133146,-0.026594,0.080278,-4.5,82.4,0.032,-0.038
113,0.073057,0.134981,-0.03318,0.065136,-4.5,83.6,0.035,-0.036
114,0.028475,0.168215,-0.01345,0.122263,-4.5,84.3,0.038,-0.037
115,0.087151,0.146249,0.010464,0.108628,-4.8,85.1,0.038,-0.034
116,0.053929,0.156524,-0.015249,0.119403,-4.7,85.2,0.027,-0.032
117,0.076065,0.156277,-0.003238,0.147402,-4.6,84.3,0.026,-0.031
118,0.044655,0.132943,0.004098,0.113915,-4.3,83.5,0.015,-0.031
119,0.110253,0.09058,0.01182,0.104983,-4.1,82.1,0.001,-0.032
120,0.109493,0.063559,-0.013615,0.091534,-3.9,81.0,-0.012,-0.036
121,0.121884,0.060766,0.015444,0.070619,-3.7,80.2,-0.017,-0.04
122,0.127514,0.074811,0.016477,0.060351,-3.4,80.2,-0.021,-0.037
123,0.125437,0.062282,0.032268,0.069705,-3.4,80.0,-0.013,-0.036
124,0.131675,0.074283,0.024435,0.072545,-3.2,80.0,-0.005,-0.035
125,0.088889,0.057358,0.025064,0.079453,-3.0,80.6,-0.004,-0.038
126,0.125749,0.069266,0.012048,0.074218,-2.7,81.0,-0.004,-0.039
127,0.104828,0.094781,0.005732,0.077986,-2.5,81.7,-0.004,-0.035
128,0.073796,0.07909,-0.009285,0.075302,-2.4,82.2,-0.006,-0.038
129,0.075102,0.077695,-0.022991,0.049537,-2.5,82.9,-0.005,-0.039
130,0.059587,0.084638,-0.016362,0.044319,-2.6,83.4,-0.008,-0.04
131,0.066909,0.095429,-0.019618,0.068751,-2.6,83.9,-0.011,-0.037
132,0.066904,0.067802,-0.040913,0.082711,-2.7,84.0,-0.005,-0.04
133,0.051391,0.0654,-0.021854,0.091318,-2.7,84.7,-0.005,-0.04
134,0.014546,0.078348,-0.035545,0.098905,-2.7,85.5,0.001,-0.043
135,0.041469,0.111205,-0.028881,0.095131,-2.7,85.7,-0.005,-0.043
136,0.015317,0.108953,-0.012134,0.111111,-2.8,85.9,0.002,-0.045
137,0.061781,0.095839,-0.063546,0.090107,-2.8,86.3,0.005,-0.047
138,0.053271,0.121162,-0.027527,0.091839,-2.7,87.3,0.017,-0.05
139,0.029656,0.085569,-0.019988,0.086555,-2.6,88.2,0.016,-0.052
140,0.053763,0.098187,-0.020543,0.101826,-2.6,88.3,0.017,-0.043
141,0.043988,0.121797,-0.035525,0.099483,-2.5,89.1,0.022,-0.051
142,0.058113,0.135134,-0.052886,0.105181,-2.7,89.2,0.031,-0.048
143,0.043073,0.110243,-0.025515,0.08043,-2.5,89.1,0.027,-0.056
144,0.070309,0.101779,-0.028029,0.094352,-2.3,89.1,0.028,-0.05
145,0.064546,0.129527,-0.011479,0.088245,-2.3,89.3,0.027,-0.051
146,0.056026,0.135342,-0.009522,0.085597,-2.1,89.5,0.029,-0.047
147,0.059797,0.137076,0.040321,0.073075,-2.1,89.7,0.028,-0.051
148,0.062684,0.119543,0.008591,0.097707,-2.1,89.7,0.031,-0.05
149,0.065682,0.120704,0.005384,0.099311,-2.2,89.4,0.029,-0.048
150,0.067905,0.114165,0.018499,0.100037,-2.4,89.6,0.035,-0.045
151,0.05581,0.086502,0.012385,0.083856,-2.4,89.7,0.035,-0.049
152,0.060185,0.093296,-0.012391,0.079846,-2.6,90.0,0.032,-0.053
153,0.103347,0.084227,-0.009027,0.084458,-2.6,90.2,0.031,-0.055
154,0.08395,0.110553,-0.037211,0.09671,-2.5,89.7,0.036,-0.051
155,0.065413,0.106848,-0.047399,0.099065,-2.7,89.9,0.036,-0.05
156,0.078817,0.109323,-0.04349,0.10307,-3.1,89.7,0.029,-0.052
157,0.040612,0.150358,-0.044802,0.069306,-3.4,90.6,0.036,-0.047
158,0.051481,0.143245,-0.031133,0.1103,-3.8,90.7,0.028,-0.048
159,0.055716,0.135174,-0.034916,0.100958,-4.1,90.2,0.025,-0.052
160,0.065832,0.143497,-0.045209,0.132204,-4.4,90.7,0.029,-0.046
161,0.094739,0.159411,-0.099058,0.152729,-4.5,92.3,0.032,-0.054
162,0.163477,0.180049,-0.079672,0.149958,-4.4,91.8,0.008,-0.055
163,0.133234,0.148309,-0.001101,0.101797,-4.2,91.6,0.009,-0.057
164,0.10004,0.164286,0.028846,0.107549,-4.0,90.9,0.024,-0.053
165,0.096481,0.128344,-0.03569,0.140465,-3.8,89.7,0.018,-0.053
166,0.11647,0.114678,-0.073374,0.118293,-3.6,88.2,0.009,-0.056
167,0.111209,0.120176,-0.047216,0.137623,-3.4,87.1,0.012,-0.057
168,0.08885,0.142353,-0.044855,0.133899,-3.2,85.9,0.009,-0.051
169,0.126484,0.12569,-0.017382,0.127081,-2.9,84.1,-0.004,-0.055
170,0.085593,0.141013,0.013633,0.076664,-2.9,81.7,-0.007,-0.044
171,0.089952,0.124463,0.00825,0.069586,-2.8,78.6,-0.016,-0.039
172,0.104944,0.102429,-0.026732,0.103485,-2.5,74.9,-0.029,-0.044
173,0.144489,0.089273,-0.038569,0.104682,-2.2,71.1,-0.031,-0.042
174,0.14523,0.095889,-0.052741,0.088292,-1.6,67.7,-0.042,-0.041
175,0.135789,0.081587,-0.049595,0.077492,-0.9,64.8,-0.037,-0.047
176,0.103511,0.111927,-0.055489,0.102686,-0.4,62.5,-0.026,-0.051
177,0.069444,0.123315,-0.031603,0.090026,0.4,60.4,-0.015,-0.047
178,0.081244,0.131165,-0.002233,0.092573,1.3,59.3,-0.0,-0.047
179,0.071149,0.120924,-0.042299,0.065827,2.0,59.0,-0.0,-0.043
180,0.07454,0.110754,-0.044975,0.051216,2.6,58.1,0.012,-0.033
181,0.168286,0.106227,-0.042609,0.124488,3.5,57.7,0.009,-0.033
182,0.12748,0.077364,-0.016319,0.091834,4.4,57.2,0.01,-0.026
183,0.104267,0.041747,-0.067689,0.037296,5.9,55.6,0.013,-0.028
184,0.095897,0.037346,-0.072161,0.035308,7.2,55.6,0.004,-0.016
185,0.099886,0.039182,-0.075388,0.03586,8.5,55.6,0.01,-0.018
186,0.096927,0.0373,-0.072153,0.036756,10.0,55.8,0.009,-0.017
187,0.095433,0.038374,-0.075131,0.03703,11.1,56.3,0.012,-0.017
188,0.095653,0.03797,-0.076224,0.036102,12.0,56.8,0.013,-0.014
189,0.08573,0.03622,-0.07658,0.036202,13.0,57.6,0.009,-0.007
190,0.087728,0.030548,-0.077435,0.029688,13.9,58.8,0.004,-0.008
191,0.089812,0.033025,-0.075363,0.031429,14.6,60.2,0.007,-0.011
192,0.096093,0.036866,-0.071474,0.032336,14.8,61.9,0.007,-0.017
193,0.089616,0.031964,-0.077229,0.023883,14.7,64.3,-0.0,-0.009
194,0.09267,0.027302,-0.074549,0.019229,14.6,67.4,-0.008,-0.016
195,0.08534,0.019719,-0.076231,0.012026,14.8,71.3,-0.014,-0.008
196,0.077628,0.0106,-0.078506,0.003935,15.0,75.2,-0.02,-0.001
197,0.083637,0.005403,-0.073519,-0.000769,15.2,78.3,-0.029,-0.01
198,0.088793,-0.000307,-0.068525,-0.006835,15.3,81.4,-0.029,-0.019
199,0.104902,-0.001404,-0.060799,-0.009224,15.6,84.6,-0.031,-0.034
200,0.110668,-0.010485,-0.056204,-0.016901,15.8,88.0,-0.041,-0.042
201,0.114438,-0.013921,-0.05361,-0.020142,16.0,90.5,-0.041,-0.045
202,0.120782,-0.024753,-0.047964,-0.030323,16.2,91.3,-0.05,-0.054
203,0.125679,-0.025294,-0.045456,-0.030856,16.2,89.9,-0.054,-0.06
204,0.125431,-0.029729,-0.048187,-0.035968,15.7,88.0,-0.061,-0.057
205,0.125926,-0.036632,-0.046834,-0.040396,15.2,85.3,-0.071,-0.055
206,0.130626,-0.041139,-0.044034,-0.042543,14.5,82.6,-0.082,-0.06
207,0.133004,-0.043067,-0.044524,-0.041889,13.8,79.4,-0.087,-0.059
208,0.133827,-0.045424,-0.046108,-0.043519,12.6,76.3,-0.092,-0.057
209,0.134108,-0.042581,-0.042784,-0.040841,11.6,73.2,-0.095,-0.058
210,0.137679,-0.04366,-0.041173,-0.04145,10.4,71.4,-0.095,-0.059
211,0.134664,-0.051267,-0.04377,-0.047986,9.5,70.6,-0.103,-0.056
212,0.135279,-0.040788,-0.039597,-0.038073,8.4,70.2,-0.094,-0.06
213,0.138796,-0.041565,-0.035641,-0.036898,6.8,70.3,-0.098,-0.066
214,0.135332,-0.037078,-0.03662,-0.032485,5.3,71.2,-0.092,-0.062
215,0.137536,-0.032138,-0.037444,-0.026923,3.3,72.6,-0.091,-0.061
216,0.130102,-0.020305,-0.04205,-0.013775,1.0,74.8,-0.079,-0.051
217,0.112575,0.066385,-0.037779,0.047936,-1.3,78.3,-0.076,-0.051
218,0.099798,0.07597,-0.055551,0.046193,-3.7,80.9,-0.055,-0.045
219,0.107537,0.063712,-0.009995,0.058248,-5.9,83.6,-0.041,-0.043
220,0.105943,0.09585,0.014527,0.046769,-7.8,85.2,-0.028,-0.034
221,0.1055,0.076812,-0.068396,0.0684,-9.7,86.8,-0.012,-0.032
222,0.128366,0.102459,-0.039228,0.080672,-11.3,88.2,0.002,-0.029
223,0.117687,0.081956,-0.017774,0.091084,-12.9,90.4,0.008,-0.027
224,0.143273,0.106321,0.018331,0.10865,-14.4,92.5,0.028,-0.023
225,0.135766,0.120019,0.013895,0.104887,-15.6,94.4,0.037,-0.027
226,0.105677,0.118668,0.026449,0.111097,-16.5,96.0,0.037,-0.028
227,0.098405,0.149449,0.019785,0.116648,-17.3,98.1,0.045,-0.02
228,0.091416,0.1496,0.014835,0.101824,-17.5,98.1,0.032,-0.015
229,0.126445,0.132587,-0.0059,0.133212,-17.6,96.7,0.033,-0.012
230,0.130128,0.148691,2.8e-05,0.136429,-17.5,95.0,0.028,-0.005
231,0.142248,0.133071,0.007498,0.144696,-16.9,92.9,0.017,-0.009
232,0.146004,0.118154,-0.01273,0.130503,-16.1,90.4,0.02,0.005
233,0.167804,0.117772,-0.014616,0.132477,-14.8,87.6,0.017,-0.0
234,0.13336,0.118596,-0.029856,0.12036,-13.6,85.5,0.012,-0.005
235,0.100131,0.114147,-0.009579,0.120319,-12.8,84.1,0.025,-0.016
236,0.118935,0.101153,-0.02713,0.1017,-12.0,83.7,0.018,-0.031
237,0.128707,0.104073,-0.05084,0.108495,-11.6,85.0,0.031,-0.038
238,0.124493,0.083283,-0.078014,0.057289,-11.3,87.8,0.033,-0.047
239,0.179034,0.043044,-0.052296,0.060536,-11.1,89.0,0.011,-0.069
240,0.296611,0.041755,-0.149707,0.064243,-10.9,91.0,-0.048,-0.076
241,0.317656,0.057505,-0.130813,-0.019082,-10.3,93.2,-0.104,-0.082
242,0.120499,-0.079986,-0.083766,-0.094525,-6.4,94.2,-0.287,-0.024
243,0.194441,-0.019089,-0.073355,-0.053639,-5.6,92.8,-0.27,-0.04
244,0.24993,0.112723,-0.090362,-0.024139,-4.6,90.3,-0.265,-0.063
245,0.319897,0.148517,-0.196934,0.022389,-3.3,83.8,-0.238,-0.076
246,0.425028,0.150041,-0.196505,0.083674,-2.4,71.6,-0.237,-0.083
247,0.3129,0.082057,-0.101671,-0.066823,-1.9,61.5,-0.249,-0.083
248,0.266817,0.034647,-0.134247,-0.03982,-1.4,50.2,-0.3,-0.075
249,0.234421,-0.04339,-0.149257,-0.066663,-1.6,40.9,-0.309,-0.067
250,0.22958,-0.06228,-0.031096,-0.030043,-2.1,33.6,-0.295,-0.086
251,0.220133,0.002669,-0.05529,-0.014037,-2.1,28.9,-0.267,-0.104
252,0.257514,0.063655,-0.093928,0.001925,-1.8,26.3,-0.24,-0.106
253,0.19981,0.150873,-0.12096,0.111477,-1.7,26.4,-0.18,-0.085
254,0.219126,0.171586,-0.175742,0.178522,-1.6,28.3,-0.152,-0.056
255,0.189857,0.226531,-0.168225,0.176399,-2.1,31.5,-0.147,-0.02
256,0.220631,0.15906,-0.232825,0.117166,-2.8,35.4,-0.168,-0.008
257,0.194344,0.222328,-0.219236,0.150032,-3.6,41.6,-0.134,0.008
258,0.169006,0.209601,-0.206076,0.138517,-4.5,46.2,-0.094,0.022
259,0.178988,0.205695,-0.161564,0.207183,-4.9,49.9,-0.068,0.028
260,0.086538,0.256015,-0.074524,0.226648,-4.6,52.6,-0.008,0.034
261,0.216086,0.24261,-0.203568,0.193027,-4.0,51.1,-0.079,0.016
262,0.182542,0.191617,-0.087536,0.221206,-4.7,66.2,-0.121,-0.015
263,0.09496,0.214118,-0.148224,0.201628,-2.8,62.0,-0.106,0.0
264,0.086529,0.204165,-0.080275,0.153615,-1.4,58.2,-0.116,0.024
265,0.07002,0.141753,-0.04429,0.102249,0.8,54.4,-0.157,0.034
266,0.035966,0.109036,-0.041262,0.057319,2.9,49.1,-0.226,0.052
267,0.020736,0.062538,-0.047614,-0.014644,5.0,41.9,-0.325,0.071
268,0.047789,-0.027482,-0.061391,-0.070835,7.9,36.0,-0.368,0.06
269,0.113508,-0.01823,-0.024319,-0.074338,11.2,32.4,-0.364,0.048
270,0.056395,-0.002705,-0.042681,-0.03973,15.2,31.0,-0.336,0.036
271,0.033193,0.041234,-0.022915,-0.03843,19.0,32.4,-0.331,0.03
272,0.049612,0.008088,0.022901,-0.062155,22.1,34.3,-0.383,-0.001
273,0.025995,-0.017811,0.036697,-0.051698,25.1,38.7,-0.353,-0.01
274,0.03291,-0.025689,-0.020063,-0.06126,27.4,41.3,-0.336,-0.002
275,0.068573,-0.036606,-0.032739,-0.065362,28.2,41.0,-0.357,-0.006
276,0.049785,-0.050099,-0.028046,-0.080006,28.8,39.5,-0.374,-0.002
277,0.041673,-0.03059,0.006188,-0.096189,29.0,39.0,-0.365,0.003
278,0.018947,-0.00223,-0.013365,-0.068417,29.0,41.5,-0.314,0.021
279,0.026402,0.076786,0.006109,0.028026,29.4,47.8,-0.199,0.013
280,0.054487,0.145023,-0.05769,0.077577,29.1,56.3,-0.055,0.032
